Place of interest;Type of place;Place address;BiciMAD station;Station location
Iglesia Asamblea Cristiana de Madrid;no_catolicas;CALLE ALORA 7 PLANTA y 9 Bajo;Pavones;Calle Hacienda de Pavones nº 342
Iglesia Asambleas de Dios Ministerio Madureira;no_catolicas;CALLE haya 2 PLANTA 2;Glorieta de Cádiz;Calle Antonio López nº 129
Iglesia Bautista Calvario;no_catolicas;CALLE PALERMO 28;Carlota O’Neill;Calle Carlota O'Neill nº 32
Iglesia Bautista El Buen Pastor;no_catolicas;PLAZA GETAFE 1;Prosperidad;Calle Suero de Quiñones nº 2
Iglesia Bautista Emanuel de Madrid;no_catolicas;CALLE HERNANDEZ DE TEJADA 4;Carlota O’Neill;Calle Carlota O'Neill nº 32
Iglesia Bautista de Jesús España;no_catolicas;CALLE LONGARES 3 PLANTA BAJA;Gutierre de Cetina;Calle Gutierre de Cetina nº 77
Iglesia Bautista de Vallecas;no_catolicas;CALLE SAN VIRGILIO 2 y 4;Concordia;Calle Arroyo del Olivar nº 6
Iglesia Bíblica de Barajas;no_catolicas;CALLE CANAL DE SUEZ 15;Gutierre de Cetina;Calle Gutierre de Cetina nº 77
Iglesia CENFOL España;no_catolicas;CALLE ALEJANDRO VILLEGAS 34 PLANTA local entrada por calle Manzanar;Carlota O’Neill;Calle Carlota O'Neill nº 32
Iglesia Catedral de las Fuerzas Armadas;catolicas;CALLE SACRAMENTO 11;Segovia 26;Calle Segovia nº 26
Iglesia Centro Cristiano Adonay;no_catolicas;CALLE MARIA MARTINEZ OVIOL 17 B;Embajadores 191;Calle Sodio nº 1B
Iglesia Comunidad Cristiana de Fe;no_catolicas;CALLE MANUEL FERRERO 5 Local estudio Danza Pasión Madrid;Chamartín;Calle Rodríguez Jaén nº 40
Iglesia Convento del Santísimo Cristo del Pardo;catolicas;PISTA CRISTO DE EL PARDO 11;Facultad Derecho;Avenida Complutense nº 23
Iglesia Corpus Christi;catolicas;PLAZA CONDE DE MIRANDA 3;Plaza del Cordón;Plaza del Cordón
Iglesia Cristiana Adventista del Séptimo Día. Madrid Alenza;no_catolicas;CALLE ALENZA 6 PLANTA Baja;Santa Engracia 127;Calle Santa Engracia nº 127
Iglesia Cristiana Adventista del Séptimo Día. Madrid Aluche;no_catolicas;CALLE LOS YEBENES 255;Caramuel;Calle Caramuel nº 51
Iglesia Cristiana Adventista del Séptimo Día. Madrid Calatrava;no_catolicas;CALLE SECOYA 19 POLIGONO INDUSTRIAL AGUACATE;Marqués de Vadillo;Glorieta Marqués de Vadillo nº 9
Iglesia Cristiana Adventista del Séptimo Día. Madrid Eben-Ezer;no_catolicas;CALLE RUSIA 11;Gutierre de Cetina;Calle Gutierre de Cetina nº 77
Iglesia Cristiana Adventista del Séptimo Día. Madrid Efes;no_catolicas;CALLE ALEJANDRO SANCHEZ 49;Marqués de Vadillo;Glorieta Marqués de Vadillo nº 9
Iglesia Cristiana Adventista del Séptimo Día. Madrid Emaus;no_catolicas;CALLE RUSIA 11;Gutierre de Cetina;Calle Gutierre de Cetina nº 77
